Apodo,Cartera,Biblioteca_idBiblioteca,CorreoCliente,NombreCliente,Contraseña
24351,756368,579,caorreoingenioso@gmail.com,Juana Perez,contra13
64892,581693,613,caorreoingenioso8@gmail.com,Pablo Torrez,contra24
10238,857341,423,caorreoingenioso7@gmail.com,Fernando Topo,contra36
70662,109388,889,caorreoingenioso6@gmail.com,Filomeno Sen,contra47
56939,073695,160,caorreoingenioso5@gmail.com,Filipo Talo,contra58
87294,518048,415,caorreoingenioso4@gmail.com,Namko Rest,contra66
41258,016410,798,caorreoingenioso3@gmail.com,Iván Lores,contra75
01209,552604,514,caorreoingenioso2@gmail.com,Terraria Borres,contra168
58333,426505,822,caorreoingenioso1@gmail.com,Ferdinand Torres,contra179
94353,669342,208,caorreoingenioso13@gmail.com,Alejandro Magno,contra1988
