idEmpleado,Correo,NombreEmpleado,Contraseña
1,correoingenioso@gmail.com,Juan Perez,contra1
2,correoingenioso8@gmail.com,Pablo Torres,contra2
3,correoingenioso7@gmail.com,Fer Topo,contra3
4,correoingenioso6@gmail.com,Filos Sen,contra4
5,correoingenioso5@gmail.com,Firpo Talo,contra5
6,correoingenioso4@gmail.com,Namco Rest,contra6
7,correoingenioso3@gmail.com,Ran Lores,contra7
8,correoingenioso2@gmail.com,Terran Borres,contra18
9,correoingenioso1@gmail.com,Ferran Torres,contra19
10,correoingenioso13@gmail.com,Carlo Magno,contra198
